player,2,3,4,5,6,7,8,9,10,11
2,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
3,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
4,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
5,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
6,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
7,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
8,hit,hit,hit,hit,hit,hit,hit,hit,hit,hit
9,hit,double,double,double,double,hit,hit,hit,hit,hit
10,double,double,double,double,double,double,double,double,hit,hit
11,double,double,double,double,double,double,double,double,double,double
12,hit,hit,stand,stand,stand,hit,hit,hit,hit,hit
13,stand,stand,stand,stand,stand,hit,hit,hit,hit,hit
14,stand,stand,stand,stand,stand,hit,hit,hit,hit,hit
15,stand,stand,stand,stand,stand,hit,hit,hit,hit,hit
16,stand,stand,stand,stand,stand,hit,hit,hit,hit,hit
17,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand
18,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand
19,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand
20,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand
21,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand
22,split,split,split,split,split,split,hit,hit,hit,hit
33,split,split,split,split,split,split,hit,hit,hit,hit
44,hit,hit,hit,split,split,hit,hit,hit,hit,hit
55,double,double,double,double,double,double,double,double,hit,hit
66,split,split,split,split,split,hit,hit,hit,hit,hit
77,split,split,split,split,split,split,hit,hit,hit,hit
88,split,split,split,split,split,split,split,split,split,split
99,split,split,split,split,split,stand,split,split,stand,stand
A2,hit,hit,hit,double,double,hit,hit,hit,hit,hit
A3,hit,hit,hit,double,double,hit,hit,hit,hit,hit
A4,hit,hit,hit,double,double,hit,hit,hit,hit,hit
A5,hit,hit,double,double,double,hit,hit,hit,hit,hit
A6,hit,double,double,double,double,hit,hit,hit,hit,hit
A7,double,double,double,double,double,stand,stand,hit,hit,hit
A8,stand,stand,stand,stand,double,stand,stand,stand,stand,stand
A9,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand
AA,split,split,split,split,split,split,split,split,split,split
AT,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand
TT,stand,stand,stand,stand,stand,stand,stand,stand,stand,stand
